type,epoch,loss,loss_ft,rel_change,lr
train,1,4.652670371121373,4.3875866182919205,-0.05697453971267752,2.9741379310344824e-05
val,1,4.746638559159779,3.962793929236276,-0.16513678472755977,2.9741379310344824e-05
train,2,4.582156023074841,3.766738786779601,-0.17795492606296212,5.974137931034483e-05
val,2,4.7257578032357355,3.704459621792748,-0.21611310269512812,5.974137931034483e-05
train,3,4.617075864611001,3.606338478367904,-0.21891288249998336,8.974137931034482e-05
val,3,4.729081221989223,3.5205978893098377,-0.25554294289981627,8.974137931034482e-05
train,4,4.606180990564412,3.4592603568373055,-0.24899599821989848,0.00011974137931034483
val,4,4.673661084402175,3.3623503616877963,-0.2805746285477851,0.00011974137931034483
train,5,4.638917180998572,3.384773402378477,-0.2703526986334618,0.00014974137931034483
val,5,4.669139623641968,3.2806784993126277,-0.2973698017722436,0.00014974137931034483
train,6,4.653304324067872,3.339100486245649,-0.28242378883858593,0.00017974137931034482
val,6,4.727953967593965,3.269927740097046,-0.3083841842561133,0.00017974137931034482
train,7,4.676751453301002,3.3086531634988456,-0.29253175061003267,0.00020974137931034482
val,7,4.676063707896641,3.171285799571446,-0.321804406938259,0.00020974137931034482
train,8,4.631274996132686,3.2176341599431533,-0.3052379393082863,0.0002397413793103448
val,8,4.696200915745327,3.13102194241115,-0.3332862033407635,0.0002397413793103448
train,9,4.6607017167683304,3.2052610578208136,-0.31227929770985224,0.0002697413793103448
val,9,4.699847266787574,3.11048572404044,-0.3381730197869791,0.0002697413793103448
train,10,4.5701719316942935,3.102260815686193,-0.3211938495854146,0.0002997413793103448
val,10,4.72948557989938,3.08552318527585,-0.3475985637022505,0.0002997413793103448
train,11,4.601633522017249,3.0780431710440537,-0.3310977164268589,0.0002999191732976625
val,11,4.696415254047939,3.068665549868629,-0.34659407572111905,0.0002999191732976625
train,12,4.576312911921534,3.046380184847733,-0.3343155847337813,0.0002996739744776372
val,12,4.65075557572501,2.985993203662691,-0.35795524941187606,0.0002996739744776372
train,13,4.579360612507524,3.024846048190676,-0.33946105053859066,0.00029926469616464626
val,13,4.6673776876358755,3.0036217031024752,-0.3564648279784119,0.00029926469616464626
train,14,4.625737798625026,3.0616258547223847,-0.3381324260029534,0.0002986918370012697
val,14,4.6826595692407516,2.9878881999424527,-0.3619249582931116,0.0002986918370012697
train,15,4.629667806214299,3.03610131041757,-0.34420752470786803,0.0002979560949281559
val,15,4.694093988055275,2.969412326812744,-0.36741523830396333,0.0002979560949281559
train,16,4.5922540857874115,3.0024028605428237,-0.346202800529924,0.00029705836633368854
