type,epoch,loss,lr
train,1,8.99240888398269,2.9741379310344824e-05
val,1,7.977756727309454,2.9741379310344824e-05
train,2,7.404779643848024,5.974137931034483e-05
val,2,6.529000622885568,5.974137931034483e-05
train,3,5.258999581994681,8.974137931034482e-05
val,3,4.184271312895275,8.974137931034482e-05
train,4,3.635441950682936,0.00011974137931034483
val,4,3.279265812465123,0.00011974137931034483
train,5,3.0119488855888106,0.00014974137931034483
val,5,2.8562912259783064,0.00014974137931034483
train,6,2.742461216860804,0.00017974137931034482
val,6,2.6520762216477167,0.00017974137931034482
train,7,2.510601481487011,0.00020974137931034482
val,7,2.4638260262353078,0.00020974137931034482
train,8,2.373591194892752,0.0002397413793103448
val,8,2.348734049569993,0.0002397413793103448
train,9,2.2973388186816512,0.0002697413793103448
val,9,2.2775089854285833,0.0002697413793103448
train,10,2.2624460006582328,0.0002997413793103448
val,10,2.2367979742231823,0.0002997413793103448
train,11,2.1862164499430823,0.0002999191732976625
val,11,2.148542421204703,0.0002999191732976625
train,12,2.1053200055812966,0.0002996739744776372
val,12,2.1020170620509555,0.0002996739744776372
train,13,2.087568839048517,0.00029926469616464626
val,13,2.0906629789443243,0.00029926469616464626
train,14,2.020496961371652,0.0002986918370012697
val,14,2.0318971758797053,0.0002986918370012697
train,15,1.9756696738045791,0.0002979560949281559
val,15,2.001201249304272,0.0002979560949281559
train,16,1.9813412684818794,0.00029705836633368854
val,16,1.9549384514490764,0.00029705836633368854
train,17,1.944360272637729,0.0002959997449618755
val,17,1.9634933187848045,0.0002959997449618755
train,18,1.8997391565092678,0.0002947815205797902
val,18,1.9046882958639235,0.0002947815205797902
train,19,1.9274676236613044,0.00029340517740618913
val,19,1.8965558551606678,0.00029340517740618913
train,20,1.8459777462071385,0.00029187239230321995
val,20,1.9053570315951394,0.00029187239230321995
train,21,1.8105608368742054,0.0002901850327334231
val,21,1.8482925040381295,0.0002901850327334231
train,22,1.7725710170022373,0.00028834515448451667
val,22,1.832393072900318,0.00028834515448451667
train,23,1.7652278367815346,0.0002863549991647354
val,23,1.7991685413178944,0.0002863549991647354
train,24,1.751556652373281,0.00028421699147177643
val,24,1.7851623239971341,0.00028421699147177643
train,25,1.7330484729388664,0.00028193373623867885
val,25,1.7667969124657767,0.00028193373623867885
train,26,1.7292991701898903,0.00027950801526023576
val,26,1.7742702790669032,0.00027950801526023576
train,27,1.6908341276234593,0.0002769427839038056
val,27,1.747216128167652,0.0002769427839038056
train,28,1.7086572421008144,0.00027424116750865267
val,28,1.7658754984537761,0.00027424116750865267
train,29,1.6539651247961769,0.0002714064575782023
val,29,1.7296732834407262,0.0002714064575782023
train,30,1.641440244584248,0.0002684421077698511
val,30,1.7154871282123385,0.0002684421077698511
train,31,1.652987134867701,0.00026535172968721765
val,31,1.6895343859990437,0.00026535172968721765
train,32,1.6256490462812885,0.00026213908847995925
val,32,1.674375681650071,0.00026213908847995925
train,33,1.6213211756328056,0.0002588080982565175
val,33,1.6555190029598417,0.0002588080982565175
train,34,1.6656176817828212,0.00025536281731538
val,34,1.686271491504851,0.00025536281731538
train,35,1.5948546662412841,0.0002518074432006687
val,35,1.6610262450717745,0.0002518074432006687
