type,epoch,loss,loss_lora,rel_change,lr
train,1,2.5383701620076224,2.3200950195204535,-0.0859902727167786,2.9919137466307274e-05
val,1,2.7949505127393284,2.4276140255805774,-0.13142861939216408,2.9919137466307274e-05
train,2,2.5597057143311615,2.2199015662355244,-0.13275125581552497,5.991913746630727e-05
val,2,2.807078074186276,2.37427919338911,-0.1541812765299116,5.991913746630727e-05
train,3,2.516209442017856,2.1356552395859176,-0.15124106764608422,8.991913746630726e-05
val,3,2.790940834925725,2.3238854316564708,-0.16734693814520935,8.991913746630726e-05
train,4,2.5699230657433563,2.1596234034335198,-0.159654453387754,0.00011991913746630727
val,4,2.8107777344874845,2.330109498439691,-0.17100898094862638,0.00011991913746630727
train,5,2.556019651600614,2.137458942649821,-0.1637548868956014,0.00014991913746630726
val,5,2.7990905321561375,2.300040514041216,-0.17829005971111042,0.00014991913746630726
train,6,2.550411970788899,2.1275267617079128,-0.16581054901109896,0.00017991913746630728
val,6,2.8029498350925937,2.297686518766941,-0.18026127688759064,0.00017991913746630728
train,7,2.567706686467173,2.139797909561836,-0.16665017821567601,0.00020991913746630725
val,7,2.817028760910034,2.298890682367178,-0.18393070235302567,0.00020991913746630725
train,8,2.5123810752061497,2.0910189116418842,-0.16771427221871238,0.00023991913746630725
val,8,2.7871573521540713,2.291822464038164,-0.1777204605018388,0.00023991913746630725
train,9,2.5253356116801258,2.101167714499399,-0.167964960862578,0.00026991913746630725
val,9,2.7844139826603427,2.286289025575687,-0.17889759216362175,0.00026991913746630725
train,10,2.5668095231377532,2.1357489917477506,-0.16793631451977004,0.0002999191374663072
val,10,2.7856628619707546,2.289806781670986,-0.17800290446811945,0.0002999191374663072
train,11,2.5303560077662097,2.1031474456632875,-0.16883338186078434,0.0002999182043388158
val,11,2.7898104710456653,2.284861378180675,-0.18099763338967156,0.0002999182043388158
train,12,2.5647884308488544,2.1280214661215195,-0.17029356475332372,0.00029967203222574607
val,12,2.7858594289192786,2.2798378803791146,-0.181639297118615,0.00029967203222574607
train,13,2.553176138921568,2.115085230040743,-0.17158663760106643,0.0002992617829860455
val,13,2.8050393599730272,2.299300398582067,-0.18029656503494598,0.0002992617829860455
train,14,2.530551902046101,2.093582685102992,-0.17267743711946523,0.0002986879564452187
val,14,2.8187429201908603,2.309111093863463,-0.18080110203625438,0.0002986879564452187
train,15,2.536660961385043,2.097770017112362,-0.17301915823746591,0.00029795125172251444
val,15,2.7971306152832813,2.2854396930107703,-0.18293422533673465,0.00029795125172251444
train,16,2.530868840346118,2.088718641800379,-0.174702928692769,0.00029705256637915664
val,16,2.784082904840127,2.264917477583274,-0.18647628141902103,0.00029705256637915664
train,17,2.5791505771184546,2.1282738713883966,-0.17481596837738653,0.00029599299532480437
val,17,2.803500438347841,2.2775799616789207,-0.18759421952466523,0.00029599299532480437
train,18,2.55249061385255,2.1035104360220567,-0.1758988555702597,0.00029477382948357294
val,18,2.8145151077172694,2.292675495147705,-0.18541013019923197,0.00029477382948357294
train,19,2.552421442903277,2.1018626336460167,-0.17652210629635195,0.00029339655422124173
val,19,2.7898692045456324,2.267661064099043,-0.18718015152672293,0.00029339655422124173
train,20,2.5162900551310123,2.0694458404319946,-0.177580566989028,0.00029186284753556494
val,20,2.7893062432607016,2.2681777752362766,-0.18683085418947235,0.00029186284753556494
train,21,2.5611032951231594,2.1058957988039824,-0.1777388273194529,0.00029017457801188963
val,21,2.8095919352311354,2.27469977354392,-0.19038072930801306,0.00029017457801188963
train,22,2.565600484850593,2.107189218310333,-0.17867601337273503,0.0002883338025465725
val,22,2.8036669125923743,2.2779723772635827,-0.1875024928844757,0.0002883338025465725
train,23,2.5354447653994083,2.083107333620282,-0.1784055554875673,0.00028634276384096826
val,23,2.8224239899561954,2.2878222924012404,-0.1894122567896867,0.00028634276384096826
train,24,2.549410932468918,2.091692195748383,-0.17953901855958074,0.00028420388766904365
val,24,2.8168389674944754,2.2891109692744718,-0.1873475922158971,0.00028420388766904365
train,25,2.526170755011052,2.073990007937758,-0.1789984885923976,0.0002819197799219456
val,25,2.8082714814406176,2.2772604074233618,-0.1890882265217649,0.0002819197799219456
train,26,2.523837968024282,2.069000449142045,-0.18021660845299603,0.0002794932234331241
val,26,2.7929381346091247,2.2650049405220227,-0.189024306534089,0.0002794932234331241
