type,epoch,loss,lr
train,1,7.736483559775546,2.9919137466307274e-05
val,1,6.795586158067752,2.9919137466307274e-05
train,2,5.237495535467513,5.991913746630727e-05
val,2,4.0126961561349725,5.991913746630727e-05
train,3,2.8337337527313644,8.991913746630726e-05
val,3,2.4185817333368154,8.991913746630726e-05
train,4,2.0489665308409943,0.00011991913746630727
val,4,2.1772320087139425,0.00011991913746630727
train,5,1.9438778505813723,0.00014991913746630726
val,5,2.1182075219276624,0.00014991913746630726
train,6,1.8969358237927172,0.00017991913746630728
val,6,2.063248949173169,0.00017991913746630728
train,7,1.8312653773878462,0.00020991913746630725
val,7,2.0222543416879115,0.00020991913746630725
train,8,1.8241761855359346,0.00023991913746630725
val,8,2.004465803121909,0.00023991913746630725
train,9,1.787093078351085,0.00026991913746630725
val,9,1.9548567074995775,0.00026991913746630725
train,10,1.7304405954006226,0.0002999191374663072
val,10,1.941656042367984,0.0002999191374663072
train,11,1.7264342320897188,0.0002999182043388158
val,11,1.9008631461705916,0.0002999182043388158
train,12,1.7215908179385964,0.00029967203222574607
val,12,1.905411374874604,0.00029967203222574607
train,13,1.682499084671874,0.0002992617829860455
val,13,1.8634262726857111,0.0002992617829860455
train,14,1.6977015875099162,0.0002986879564452187
val,14,1.860466914299207,0.0002986879564452187
train,15,1.6840197339533474,0.00029795125172251444
val,15,1.8871545302562225,0.00029795125172251444
train,16,1.6495814985342103,0.00029705256637915664
val,16,1.8513554151241596,0.00029705256637915664
train,17,1.6634063723916312,0.00029599299532480437
val,17,1.8545394188318498,0.00029599299532480437
train,18,1.647258639656951,0.00029477382948357294
val,18,1.8202744111036644,0.00029477382948357294
train,19,1.6629386878399193,0.00029339655422124173
val,19,1.8449569390370295,0.00029339655422124173
train,20,1.6057790784501644,0.00029186284753556494
val,20,1.838851286814763,0.00029186284753556494
train,21,1.6186474124697663,0.00029017457801188963
val,21,1.8545842996010413,0.00029017457801188963
train,22,1.5987064573321381,0.0002883338025465725
val,22,1.8410943410335443,0.0002883338025465725
train,23,1.6179505671773637,0.00028634276384096826
val,23,1.8116960372680273,0.00028634276384096826
train,24,1.6002010661315405,0.00028420388766904365
val,24,1.8125279072003486,0.00028420388766904365
train,25,1.6010603668554775,0.0002819197799219456
val,25,1.83809984035981,0.0002819197799219456
train,26,1.602718924415722,0.0002794932234331241
val,26,1.819192764086601,0.0002794932234331241
train,27,1.5872621242248144,0.00027692717458787844
val,27,1.8073884370999458,0.00027692717458787844
train,28,1.593719989463004,0.00027422475972145696
val,28,1.7998862908436701,0.00027422475972145696
train,29,1.5767368229251666,0.00027138927131009936
val,29,1.8217991621066363,0.00027138927131009936
